nombre,precio_actual,precio_original,descuento,valoracion,plataforma,fecha
"Portátil Samsung Galaxy Book4 NP750XGJ-KG4ES, i7-1355U, 16GB, 1TB SSD, 15,6"", W11",Precio de venta 779 €,Precio original 899 €,,,ElCorteIngles,2026-04-20 22:47
"Portátil Lenovo Yoga Slim 7 14IMH9, Intel Core Ultra 7-155H, 32GB, 1TB SSD, 14"" OLED, W11",Precio de venta 999 €,Precio original 1.199 €,,,ElCorteIngles,2026-04-20 22:47
"Tablet Lenovo Idea Tab 8GB + 128GB, 11"", Wi-Fi + PEN",Precio de venta 199 €,,,,ElCorteIngles,2026-04-20 22:47
"Portátil Gaming HP VICTUS 15-fa2007ns, Intel Core 7-240H, 16GB, 1TB SSD, Nvidia GeForce RTX 5060 8GB, 15,6"", W11",Precio de venta 1.199 €,Precio original 1.399 €,,,ElCorteIngles,2026-04-20 22:47
"Monitor PC 68,5cm (27"") LG MyView Smart Monitor 27U511SA-W, 100 Hz, Full HD",Precio de venta 179 €,Precio original 219 €,,,ElCorteIngles,2026-04-20 22:47
"Impresora multifunción HP OfficeJet Pro 8134e, Fax, Wi-Fi, compatible con Instant Ink","Precio de venta 139,90 €","Precio original 169,90 €",,,ElCorteIngles,2026-04-20 22:47
"Portátil HP OmniBook 7 14-fr0001ns, Intel Core Ultra 5 EVO-225U, 16GB, 1TB SSD, 14"" OLED, W11",Precio de venta 899 €,Precio original 999 €,,,ElCorteIngles,2026-04-20 22:47
"Apple iPad 11"" (2025) A16, Wi-Fi",Precio de venta 359 €,Precio original 379 €,,,ElCorteIngles,2026-04-20 22:47
"Monitor PC Gaming Samsung Odyssey OLED G6 68,5 cm (27"") QHD, 0.03ms, Max 360Hz, FreeSync Premium Pro, 250 nits",Precio de venta 579 €,Precio original 799 €,,,ElCorteIngles,2026-04-20 22:47
"Impresora Multifunción Epson Expression Home XP-2200, Wi-Fi","Precio de venta 60,90 €","Precio original 71,90 €",,,ElCorteIngles,2026-04-20 22:47
"Portátil HP 15-fd1017ns, Intel Core Ultra 7-155H, 32GB, 1TB SSD, 15,6"", W11",Precio de venta 949 €,Precio original 1.049 €,,,ElCorteIngles,2026-04-20 22:47
"All in One HP ENVY Move 24-cs0190ns, i5-1335U, 16GB, 512GB SSD, 23,8"", W11",Precio de venta 1.099 €,Precio original 1.299 €,,,ElCorteIngles,2026-04-20 22:47
